location_id,customer_city,customer_state,customer_region
Loc0,New Rochelle,New York,East
Loc1,Houston,Texas,Central
Loc2,Louisville,Kentucky,South
Loc3,Chicago,Illinois,Central
Loc4,Philadelphia,Pennsylvania,East
Loc5,Columbia,South Carolina,South
Loc6,Henderson,Kentucky,South
Loc7,Athens,Georgia,South
Loc8,Henderson,Kentucky,South
Loc9,Henderson,Kentucky,South
Loc10,Henderson,Kentucky,South
Loc11,Madison,Wisconsin,Central
Loc12,Seattle,Washington,West
Loc13,Yonkers,New York,East
Loc14,Yonkers,New York,East
Loc15,Huntsville,Texas,Central
Loc16,Laredo,Texas,Central
Loc17,Laredo,Texas,Central
Loc18,Springfield,Virginia,South
Loc19,Springfield,Virginia,South
Loc20,Dover,Delaware,East
Loc21,San Francisco,California,West
Loc22,Mount Pleasant,South Carolina,South
Loc23,San Francisco,California,West
Loc24,Newark,Ohio,East
Loc25,Bossier City,Louisiana,South
Loc26,Bossier City,Louisiana,South
Loc27,Bossier City,Louisiana,South
Loc28,Newark,Ohio,East
Loc29,Bossier City,Louisiana,South
Loc30,San Francisco,California,West
Loc31,Bossier City,Louisiana,South
Loc32,Philadelphia,Pennsylvania,East
Loc33,Roswell,Georgia,South
Loc34,Philadelphia,Pennsylvania,East
Loc35,Seattle,Washington,West
Loc36,Philadelphia,Pennsylvania,East
Loc37,Philadelphia,Pennsylvania,East
Loc38,Little Rock,Arkansas,South
Loc39,Los Angeles,California,West
Loc40,Scottsdale,Arizona,West
Loc41,Scottsdale,Arizona,West
Loc42,Scottsdale,Arizona,West
Loc43,Jonesboro,Arkansas,South
Loc44,Westland,Michigan,Central
Loc45,Westland,Michigan,Central
Loc46,Jonesboro,Arkansas,South
Loc47,Los Angeles,California,West
Loc48,Westland,Michigan,Central
Loc49,Jonesboro,Arkansas,South
Loc50,Jonesboro,Arkansas,South
Loc51,Westland,Michigan,Central
Loc52,Westland,Michigan,Central
Loc53,Smyrna,Tennessee,South
Loc54,Westland,Michigan,Central
Loc55,Jonesboro,Arkansas,South
Loc56,Los Angeles,California,West
Loc57,Westland,Michigan,Central
Loc58,Westland,Michigan,Central
Loc59,Jonesboro,Arkansas,South
Loc60,Miami,Florida,South
Loc61,Lafayette,Indiana,Central
Loc62,Las Vegas,Nevada,West
