time_id,order_date,isholiday
T0,11m-05d-22y,no
T1,06m-20d-22y,yes
T2,06m-25d-22y,no
T3,10m-06d-22y,no
T4,02m-05d-22y,no
T5,06m-24d-22y,no
T6,07m-10d-22y,no
T7,01m-26d-22y,no
T8,09m-03d-22y,no
T9,03m-19d-22y,no
T10,09m-11d-22y,no
T11,06m-19d-22y,no
T12,11m-05d-22y,no
T13,04m-30d-22y,no
T14,05m-30d-22y,yes
T15,03m-02d-22y,no
T16,02m-27d-21y,no
T17,10m-28d-21y,no
T18,02m-04d-21y,no
T19,02m-11d-21y,no
T20,01m-12d-21y,no
T21,03m-01d-22y,no
T22,09m-11d-21y,no
T23,08m-27d-21y,no
T24,04m-16d-21y,no
T25,05m-25d-21y,no
T26,04m-13d-21y,no
T27,08m-14d-21y,no
T28,11m-14d-21y,no
T29,08m-15d-21y,no
T30,07m-25d-22y,no
T31,11m-07d-22y,no
T32,10m-02d-22y,no
T33,08m-23d-22y,no
T34,07m-25d-22y,no
T35,04m-17d-22y,no
T36,09m-21d-22y,no
T37,07m-02d-22y,no
T38,04m-24d-22y,no
T39,04m-22d-22y,no
T40,02m-21d-22y,yes
T41,07m-11d-22y,no
T42,03m-19d-22y,no
T43,02m-21d-22y,yes
T44,01m-21d-22y,no
T45,08m-28d-21y,no
T46,05m-25d-21y,no
T47,08m-09d-21y,no
T48,08m-17d-21y,no
T49,01m-06d-21y,no
T50,07m-25d-21y,no
T51,08m-25d-21y,no
T52,09m-04d-21y,no
T53,06m-28d-21y,no
T54,07m-22d-21y,no
T55,04m-29d-21y,no
T56,04m-26d-21y,no
T57,02m-07d-21y,no
T58,04m-19d-21y,no
T59,09m-27d-21y,no
T60,06m-21d-21y,no
T61,05m-28d-21y,no
T62,06m-26d-21y,no
T63,08m-10d-21y,no
T64,06m-18d-21y,yes
T65,07m-16d-21y,no
T66,09m-03d-21y,no
T67,06m-18d-21y,yes
T68,08m-26d-21y,no
T69,08m-01d-21y,no
T70,10m-05d-21y,no
T71,04m-30d-21y,no
T72,07m-06d-21y,no
T73,10m-04d-21y,no
T74,10m-05d-21y,no
T75,10m-06d-21y,no
T76,08m-24d-21y,no
T77,03m-07d-21y,no
T78,08m-02d-21y,no
T79,06m-26d-21y,no
T80,08m-24d-21y,no
T81,04m-24d-21y,no
T82,02m-06d-21y,no
T83,08m-28d-21y,no
T84,07m-24d-21y,no
T85,11m-20d-21y,no
T86,06m-23d-21y,no
T87,08m-23d-21y,no
T88,07m-11d-21y,no
T89,07m-11d-21y,no
T90,07m-19d-21y,no
T91,07m-19d-21y,no
T92,07m-19d-21y,no
T93,05m-16d-21y,no
T94,09m-04d-21y,no
T95,11m-11d-21y,yes
T96,08m-20d-21y,no
T97,04m-23d-21y,no
T98,07m-08d-21y,no
T99,08m-10d-21y,no
T100,07m-04d-21y,no
T101,07m-12d-21y,no
T102,08m-23d-21y,no
T103,07m-30d-21y,no
T104,07m-26d-21y,no
T105,06m-19d-21y,no
T106,02m-10d-21y,no
T107,08m-17d-21y,no
T108,04m-21d-21y,no
T109,06m-23d-21y,no
T110,07m-05d-21y,yes
T111,08m-25d-21y,no
T112,07m-19d-21y,no
T113,07m-19d-21y,no
T114,06m-30d-21y,no
T115,11m-11d-21y,yes
T116,07m-11d-21y,no
T117,09m-07d-21y,no
T118,07m-19d-21y,no
T119,11m-11d-21y,yes
T120,07m-08d-21y,no
T121,08m-05d-21y,no
T122,07m-04d-21y,no
T123,07m-04d-21y,no
T124,11m-10d-21y,no
T125,07m-08d-21y,no
T126,07m-26d-21y,no
T127,10m-07d-21y,no
T128,05m-25d-21y,no
T129,07m-07d-21y,no
T130,07m-30d-21y,no
T131,07m-26d-21y,no
T132,05m-07d-22y,no
T133,02m-04d-22y,no
T134,03m-02d-22y,no
T135,07m-04d-22y,yes
T136,03m-28d-22y,no
T137,06m-05d-22y,no
T138,05m-21d-22y,no
T139,08m-04d-22y,no
T140,02m-06d-22y,no
T141,04m-16d-22y,no
T142,06m-07d-22y,no
T143,05m-16d-22y,no
T144,06m-03d-22y,no
T145,04m-27d-22y,no
T146,04m-16d-22y,no
T147,05m-07d-22y,no
T148,03m-31d-22y,no
T149,05m-31d-22y,no
T150,08m-02d-22y,no
T151,07m-03d-22y,no
T152,05m-30d-22y,yes
T153,02m-16d-22y,no
T154,04m-17d-22y,no
T155,03m-22d-22y,no
T156,04m-20d-22y,no
T157,09m-12d-22y,no
T158,03m-29d-22y,no
T159,02m-20d-22y,no
T160,01m-28d-22y,no
T161,01m-05d-22y,no
T162,05m-23d-22y,no
T163,02m-24d-22y,no
T164,01m-18d-22y,no
T165,10m-31d-21y,no
T166,09m-22d-21y,no
T167,08m-28d-21y,no
T168,10m-31d-21y,no
T169,07m-13d-21y,no
T170,03m-14d-21y,no
T171,08m-28d-21y,no
T172,03m-14d-22y,no
T173,10m-17d-22y,no
T174,03m-14d-22y,no
T175,10m-16d-22y,no
T176,02m-14d-22y,no
T177,01m-11d-22y,no
T178,10m-16d-22y,no
T179,11m-13d-22y,no
T180,02m-11d-22y,no
T181,10m-16d-22y,no
T182,03m-14d-22y,no
T183,10m-13d-22y,no
T184,06m-06d-22y,no
T185,10m-29d-22y,no
T186,10m-16d-22y,no
T187,01m-14d-22y,no
T188,10m-20d-22y,no
T189,01m-14d-22y,no
T190,10m-16d-22y,no
T191,01m-14d-22y,no
T192,01m-14d-22y,no
T193,02m-14d-22y,no
T194,10m-16d-22y,no
T195,11m-13d-22y,no
T196,03m-14d-22y,no
T197,10m-29d-22y,no
T198,11m-13d-22y,no
T199,02m-13d-22y,no
T200,12m-08d-22y,no
T201,11m-08d-22y,no
T202,08m-08d-21y,no
T203,07m-02d-21y,no
T204,08m-17d-21y,no
T205,07m-02d-21y,no
T206,05m-21d-21y,no
T207,08m-05d-21y,no
T208,04m-24d-21y,no
T209,10m-01d-21y,no
T210,04m-24d-21y,no
T211,12m-20d-21y,no
T212,08m-08d-21y,no
T213,12m-20d-21y,no
T214,02m-09d-21y,no
T215,07m-30d-21y,no
T216,07m-20d-21y,no
T217,10m-06d-21y,no
T218,12m-09d-21y,no
T219,08m-29d-21y,no
T220,01m-19d-22y,no
T221,01m-19d-22y,no
T222,01m-10d-21y,no
T223,12m-08d-22y,no
T224,12m-12d-22y,no
T225,09m-21d-22y,no
T226,12m-02d-22y,no
T227,10m-09d-22y,no
T228,08m-23d-22y,no
T229,03m-11d-22y,no
T230,04m-15d-21y,no
T231,10m-21d-21y,no
T232,10m-28d-21y,no
T233,09m-25d-22y,no
T234,09m-13d-22y,no
T235,09m-24d-21y,no
T236,10m-12d-22y,no
T237,11m-09d-22y,no
T238,10m-25d-21y,no
T239,10m-22d-22y,no
T240,02m-08d-22y,no
T241,02m-08d-22y,no
T242,06m-05d-22y,no
T243,09m-16d-22y,no
T244,05m-17d-22y,no
T245,09m-24d-22y,no
T246,08m-29d-22y,no
T247,12m-12d-22y,no
T248,08m-18d-22y,no
T249,06m-19d-22y,no
T250,04m-26d-22y,no
T251,02m-08d-22y,no
T252,07m-18d-22y,no
T253,10m-24d-21y,no
T254,10m-19d-21y,no
T255,12m-11d-22y,no
T256,09m-22d-22y,no
T257,01m-05d-22y,no
T258,04m-21d-22y,no
T259,10m-23d-22y,no
T260,09m-22d-22y,no
T261,09m-16d-22y,no
T262,12m-13d-22y,no
T263,06m-05d-22y,no
T264,10m-21d-21y,no
T265,10m-28d-21y,no
T266,12m-08d-22y,no
T267,12m-11d-22y,no
T268,09m-25d-22y,no
T269,07m-20d-21y,no
T270,06m-16d-21y,no
T271,10m-12d-21y,no
T272,08m-25d-21y,no
T273,09m-04d-21y,no
T274,09m-04d-21y,no
T275,05m-16d-21y,no
T276,07m-22d-21y,no
T277,06m-23d-21y,no
T278,11m-11d-21y,yes
T279,05m-22d-21y,no
T280,08m-26d-21y,no
T281,11m-06d-21y,no
T282,10m-05d-21y,no
T283,06m-29d-21y,no
T284,07m-23d-21y,no
T285,07m-19d-21y,no
T286,04m-19d-21y,no
T287,04m-27d-21y,no
T288,05m-22d-21y,no
T289,04m-20d-21y,no
T290,07m-16d-21y,no
T291,08m-23d-21y,no
T292,11m-01d-21y,no
T293,08m-06d-21y,no
T294,05m-22d-21y,no
T295,11m-25d-21y,yes
T296,03m-09d-21y,no
T297,10m-29d-21y,no
T298,01m-12d-21y,no
T299,12m-02d-21y,no
T300,01m-01d-22y,no
T301,10m-23d-21y,no
T302,11m-22d-21y,no
T303,04m-01d-22y,no
T304,04m-01d-22y,no
T305,11m-25d-21y,yes
T306,01m-01d-22y,no
T307,09m-18d-21y,no
T308,03m-09d-21y,no
T309,04m-01d-22y,no
T310,11m-25d-21y,yes
T311,01m-01d-22y,no
T312,02m-14d-21y,no
T313,09m-18d-21y,no
T314,12m-20d-21y,no
T315,10m-29d-21y,no
T316,01m-01d-22y,no
T317,04m-01d-22y,no
T318,03m-09d-21y,no
T319,08m-30d-21y,no
T320,09m-25d-21y,no
T321,09m-21d-21y,no
T322,11m-14d-21y,no
T323,09m-26d-21y,no
T324,11m-14d-21y,no
T325,09m-26d-21y,no
T326,12m-10d-21y,no
T327,11m-14d-21y,no
T328,09m-16d-21y,no
T329,12m-18d-21y,no
T330,09m-24d-21y,no
T331,12m-31d-21y,no
T332,12m-19d-21y,no
T333,11m-30d-21y,no
T334,09m-14d-21y,no
T335,11m-14d-21y,no
T336,03m-09d-21y,no
T337,01m-16d-22y,no
T338,11m-28d-21y,no
T339,12m-31d-21y,no
T340,09m-21d-21y,no
T341,12m-01d-21y,no
T342,12m-15d-21y,no
T343,01m-09d-21y,no
T344,09m-14d-21y,no
T345,02m-10d-21y,no
T346,12m-22d-21y,no
T347,12m-23d-21y,no
T348,01m-09d-21y,no
T349,09m-21d-21y,no
T350,09m-14d-21y,no
T351,01m-16d-22y,no
T352,12m-23d-21y,no
T353,12m-31d-21y,no
T354,07m-13d-21y,no
T355,08m-30d-21y,no
T356,09m-25d-21y,no
T357,03m-01d-22y,no
T358,12m-21d-21y,no
T359,12m-05d-21y,no
T360,09m-30d-21y,no
T361,10m-29d-21y,no
T362,04m-30d-21y,no
T363,04m-08d-22y,no
T364,08m-28d-21y,no
T365,07m-11d-21y,no
T366,07m-19d-21y,no
T367,04m-30d-21y,no
T368,08m-20d-21y,no
T369,05m-16d-21y,no
T370,07m-27d-21y,no
T371,04m-30d-21y,no
T372,07m-11d-21y,no
T373,07m-19d-21y,no
T374,11m-18d-21y,no
T375,08m-20d-21y,no
T376,06m-30d-21y,no
T377,05m-18d-21y,no
T378,07m-30d-21y,no
T379,05m-24d-21y,no
T380,05m-24d-21y,no
T381,07m-30d-21y,no
T382,07m-17d-21y,no
T383,07m-17d-21y,no
T384,05m-25d-21y,no
T385,12m-25d-21y,no
T386,12m-09d-21y,no
T387,09m-29d-21y,no
T388,04m-10d-22y,no
T389,11m-27d-21y,no
T390,11m-27d-21y,no
T391,04m-10d-22y,no
T392,11m-27d-21y,no
T393,02m-14d-21y,no
T394,11m-27d-21y,no
T395,02m-14d-21y,no
T396,03m-10d-21y,no
T397,02m-14d-21y,no
T398,05m-15d-21y,no
T399,05m-15d-21y,no
T400,12m-09d-21y,no
T401,09m-29d-21y,no
T402,12m-09d-21y,no
T403,04m-10d-22y,no
T404,03m-10d-22y,no
T405,03m-10d-22y,no
T406,07m-19d-22y,no
T407,08m-22d-22y,no
T408,07m-27d-22y,no
T409,03m-10d-22y,no
T410,07m-27d-22y,no
T411,02m-05d-22y,no
T412,10m-13d-22y,no
T413,10m-14d-22y,no
T414,03m-10d-22y,no
T415,08m-19d-22y,no
T416,08m-22d-22y,no
T417,02m-04d-22y,no
T418,08m-19d-22y,no
T419,07m-19d-22y,no
T420,11m-12d-22y,no
T421,01m-14d-22y,no
T422,03m-07d-22y,no
T423,08m-19d-22y,no
T424,10m-21d-22y,no
T425,09m-23d-22y,no
T426,10m-13d-22y,no
T427,08m-19d-22y,no
T428,03m-07d-22y,no
T429,09m-18d-22y,no
T430,10m-21d-22y,no
T431,10m-31d-22y,no
T432,09m-30d-22y,no
T433,03m-07d-22y,no
T434,09m-30d-22y,no
T435,10m-23d-22y,no
T436,11m-08d-22y,no
T437,11m-09d-22y,no
T438,11m-08d-22y,no
T439,10m-28d-22y,no
T440,09m-18d-22y,no
T441,07m-31d-22y,no
T442,08m-22d-22y,no
T443,07m-19d-22y,no
T444,07m-27d-22y,no
T445,03m-07d-22y,no
T446,09m-23d-22y,no
T447,09m-30d-22y,no
T448,05m-18d-22y,no
T449,03m-10d-22y,no
T450,07m-18d-22y,no
T451,10m-27d-21y,no
T452,05m-19d-22y,no
T453,11m-11d-22y,yes
T454,12m-09d-22y,no
T455,10m-30d-21y,no
T456,12m-07d-22y,no
T457,09m-20d-22y,no
T458,04m-18d-22y,no
T459,09m-20d-22y,no
T460,09m-19d-21y,no
T461,03m-05d-22y,no
T462,08m-28d-22y,no
T463,04m-06d-22y,no
T464,12m-05d-22y,no
T465,11m-12d-22y,no
T466,12m-05d-22y,no
T467,06m-17d-22y,no
T468,12m-17d-21y,no
T469,04m-07d-22y,no
T470,12m-24d-21y,yes
T471,07m-31d-22y,no
T472,04m-07d-22y,no
T473,02m-10d-22y,no
T474,07m-16d-22y,no
T475,08m-21d-22y,no
T476,12m-07d-22y,no
T477,07m-31d-22y,no
T478,04m-20d-22y,no
T479,07m-16d-22y,no
T480,08m-25d-22y,no
T481,10m-25d-21y,no
T482,10m-25d-21y,no
T483,03m-10d-22y,no
T484,04m-19d-22y,no
T485,08m-22d-22y,no
T486,10m-02d-22y,no
T487,09m-27d-22y,no
T488,09m-30d-22y,no
T489,09m-21d-22y,no
T490,10m-30d-21y,no
T491,09m-19d-21y,no
T492,04m-19d-22y,no
T493,03m-10d-22y,no
T494,05m-30d-22y,yes
T495,01m-06d-22y,no
T496,09m-01d-22y,no
T497,02m-18d-22y,no
T498,09m-05d-22y,yes
T499,02m-27d-22y,no
T500,04m-04d-22y,no
T501,05m-08d-22y,no
T502,03m-28d-22y,no
T503,08m-06d-22y,no
T504,07m-04d-22y,yes
T505,04m-18d-22y,no
T506,05m-25d-22y,no
T507,04m-06d-22y,no
T508,11m-05d-22y,no
T509,06m-09d-22y,no
T510,05m-08d-22y,no
T511,03m-19d-22y,no
T512,05m-21d-22y,no
T513,07m-07d-22y,no
T514,01m-29d-22y,no
T515,11m-06d-22y,no
T516,02m-03d-22y,no
T517,06m-28d-22y,no
T518,06m-22d-22y,no
T519,01m-29d-22y,no
T520,01m-29d-22y,no
T521,04m-05d-22y,no
T522,08m-06d-22y,no
T523,03m-02d-22y,no
T524,05m-28d-22y,no
T525,05m-08d-22y,no
T526,10m-06d-22y,no
T527,04m-22d-22y,no
T528,05m-26d-22y,no
T529,03m-19d-22y,no
T530,06m-09d-22y,no
T531,03m-19d-22y,no
T532,06m-25d-22y,no
T533,02m-03d-22y,no
T534,06m-22d-22y,no
T535,08m-09d-22y,no
T536,08m-09d-22y,no
T537,08m-02d-22y,no
T538,05m-03d-22y,no
T539,05m-24d-22y,no
T540,02m-03d-22y,no
T541,01m-22d-22y,no
T542,09m-08d-22y,no
T543,07m-05d-22y,no
T544,04m-28d-22y,no
T545,06m-12d-22y,no
T546,09m-08d-22y,no
T547,04m-26d-22y,no
T548,06m-09d-22y,no
T549,03m-18d-22y,no
T550,09m-11d-22y,no
T551,09m-01d-22y,no
T552,05m-08d-22y,no
T553,06m-11d-22y,no
T554,06m-11d-22y,no
T555,07m-07d-22y,no
T556,04m-18d-22y,no
T557,05m-08d-22y,no
T558,07m-02d-22y,no
T559,02m-06d-22y,no
T560,06m-03d-22y,no
T561,06m-05d-22y,no
T562,06m-03d-22y,no
T563,08m-07d-22y,no
T564,08m-08d-22y,no
T565,06m-07d-22y,no
T566,08m-03d-22y,no
T567,08m-07d-22y,no
T568,05m-09d-22y,no
T569,04m-28d-22y,no
T570,05m-19d-22y,no
T571,05m-08d-22y,no
T572,07m-07d-22y,no
T573,02m-23d-22y,no
T574,05m-05d-22y,no
T575,08m-09d-22y,no
T576,02m-28d-22y,no
T577,02m-24d-22y,no
T578,06m-29d-22y,no
T579,05m-27d-22y,no
T580,06m-20d-22y,yes
T581,07m-03d-22y,no
T582,06m-25d-22y,no
T583,12m-03d-21y,no
T584,09m-19d-21y,no
T585,10m-23d-21y,no
T586,04m-07d-22y,no
T587,10m-13d-21y,no
T588,12m-06d-21y,no
T589,11m-05d-22y,no
T590,12m-31d-21y,no
T591,08m-28d-21y,no
T592,12m-05d-21y,no
T593,01m-12d-21y,no
T594,12m-02d-21y,no
T595,11m-22d-21y,no
T596,09m-17d-21y,no
T597,05m-14d-21y,no
T598,08m-15d-21y,no
T599,01m-17d-22y,yes
T600,05m-14d-21y,no
T601,09m-20d-21y,no
T602,11m-17d-21y,no
T603,11m-15d-21y,no
T604,11m-04d-22y,no
T605,07m-08d-22y,no
T606,08m-10d-22y,no
T607,04m-24d-22y,no
T608,09m-03d-22y,no
T609,05m-06d-22y,no
T610,01m-27d-22y,no
T611,08m-01d-22y,no
T612,07m-02d-22y,no
T613,06m-06d-21y,no
T614,03m-30d-21y,no
T615,05m-04d-21y,no
T616,01m-31d-21y,no
T617,02m-24d-21y,no
T618,01m-31d-21y,no
T619,03m-27d-21y,no
T620,12m-06d-21y,no
T621,12m-15d-22y,no
T622,01m-27d-21y,no
T623,01m-19d-22y,no
T624,02m-28d-21y,no
T625,03m-16d-21y,no
T626,12m-24d-22y,no
T627,06m-13d-21y,no
T628,05m-01d-21y,no
T629,12m-15d-22y,no
T630,05m-01d-21y,no
T631,06m-04d-21y,no
T632,11m-27d-22y,no
T633,06m-01d-21y,no
T634,01m-28d-21y,no
T635,11m-27d-22y,no
T636,06m-01d-21y,no
T637,06m-10d-21y,no
T638,01m-29d-21y,no
T639,11m-22d-21y,no
T640,04m-14d-21y,no
T641,02m-22d-21y,no
T642,12m-31d-22y,yes
T643,12m-25d-22y,no
T644,12m-30d-22y,no
T645,12m-15d-22y,no
T646,12m-17d-22y,no
T647,12m-17d-22y,no
T648,02m-11d-21y,no
T649,11m-14d-21y,no
T650,04m-11d-21y,no
T651,01m-29d-21y,no
T652,12m-04d-21y,no
T653,12m-30d-22y,no
T654,02m-02d-21y,no
T655,02m-26d-21y,no
T656,12m-25d-22y,no
T657,11m-25d-22y,no
T658,12m-25d-22y,no
T659,01m-27d-21y,no
T660,08m-31d-21y,no
T661,07m-04d-22y,yes
T662,06m-30d-22y,no
T663,01m-29d-22y,no
T664,06m-23d-22y,no
T665,10m-05d-22y,no
T666,01m-29d-22y,no
T667,09m-12d-22y,no
T668,11m-04d-22y,no
T669,11m-05d-22y,no
T670,07m-07d-22y,no
T671,03m-19d-22y,no
T672,08m-12d-22y,no
T673,04m-19d-22y,no
T674,06m-17d-22y,no
T675,02m-26d-22y,no
T676,04m-23d-22y,no
T677,06m-16d-22y,no
T678,07m-08d-22y,no
T679,06m-08d-22y,no
T680,01m-06d-22y,no
T681,06m-11d-22y,no
T682,03m-26d-22y,no
T683,07m-03d-22y,no
T684,01m-06d-22y,no
T685,10m-04d-22y,no
T686,08m-02d-22y,no
T687,09m-10d-22y,no
T688,06m-01d-22y,no
T689,10m-04d-22y,no
T690,06m-12d-22y,no
T691,04m-18d-22y,no
T692,11m-05d-22y,no
T693,08m-03d-22y,no
T694,12m-06d-22y,no
T695,03m-16d-22y,no
T696,10m-06d-22y,no
T697,06m-24d-22y,no
T698,06m-07d-22y,no
T699,06m-30d-22y,no
T700,01m-30d-22y,no
T701,03m-25d-22y,no
T702,08m-07d-22y,no
T703,02m-05d-22y,no
T704,07m-11d-22y,no
T705,06m-01d-22y,no
T706,02m-05d-22y,no
T707,07m-09d-22y,no
T708,02m-21d-22y,yes
T709,08m-04d-22y,no
T710,08m-06d-22y,no
T711,05m-23d-22y,no
T712,06m-01d-22y,no
T713,01m-23d-22y,no
T714,06m-12d-22y,no
T715,07m-07d-22y,no
T716,05m-10d-22y,no
T717,06m-09d-22y,no
T718,06m-02d-22y,no
T719,06m-01d-22y,no
T720,06m-03d-22y,no
T721,01m-21d-22y,no
T722,01m-29d-22y,no
T723,05m-10d-22y,no
T724,04m-22d-22y,no
T725,05m-04d-22y,no
T726,04m-29d-22y,no
T727,01m-03d-22y,no
T728,04m-21d-22y,no
T729,04m-26d-22y,no
T730,01m-02d-22y,no
T731,02m-23d-22y,no
T732,02m-26d-22y,no
T733,05m-08d-22y,no
T734,05m-08d-22y,no
T735,03m-20d-22y,no
T736,05m-01d-22y,no
T737,04m-16d-22y,no
T738,04m-18d-22y,no
T739,02m-06d-22y,no
T740,04m-25d-22y,no
T741,05m-06d-22y,no
T742,04m-29d-22y,no
T743,07m-12d-22y,no
T744,05m-03d-22y,no
T745,05m-16d-22y,no
T746,01m-24d-22y,no
T747,01m-26d-22y,no
T748,07m-05d-22y,no
T749,06m-06d-22y,no
T750,05m-31d-22y,no
T751,05m-10d-22y,no
T752,03m-23d-22y,no
T753,05m-17d-22y,no
T754,01m-25d-22y,no
T755,03m-29d-22y,no
T756,06m-16d-22y,no
T757,08m-11d-22y,no
T758,06m-08d-22y,no
T759,01m-23d-22y,no
T760,04m-20d-22y,no
T761,08m-11d-22y,no
T762,06m-08d-22y,no
T763,03m-17d-22y,no
T764,03m-24d-22y,no
T765,06m-04d-22y,no
T766,08m-11d-22y,no
T767,08m-05d-22y,no
T768,07m-20d-22y,no
T769,02m-08d-22y,no
T770,10m-29d-22y,no
T771,08m-18d-22y,no
T772,07m-18d-22y,no
T773,09m-16d-22y,no
T774,09m-24d-22y,no
T775,07m-16d-22y,no
T776,09m-14d-22y,no
T777,04m-15d-21y,no
T778,09m-22d-22y,no
T779,03m-11d-22y,no
T780,04m-26d-22y,no
T781,01m-10d-21y,no
T782,01m-12d-21y,no
T783,10m-19d-21y,no
T784,10m-28d-21y,no
T785,09m-14d-22y,no
T786,05m-26d-22y,no
T787,05m-22d-22y,no
T788,04m-15d-21y,no
T789,08m-25d-22y,no
T790,12m-07d-22y,no
T791,09m-16d-22y,no
T792,08m-17d-22y,no
T793,10m-09d-22y,no
T794,10m-24d-21y,no
T795,04m-15d-21y,no
T796,05m-21d-22y,no
T797,04m-21d-22y,no
T798,05m-21d-22y,no
T799,07m-18d-22y,no
T800,09m-16d-22y,no
T801,04m-04d-22y,no
T802,10m-10d-22y,yes
T803,08m-18d-22y,no
T804,10m-19d-22y,no
T805,01m-08d-22y,no
T806,10m-24d-21y,no
T807,01m-12d-21y,no
T808,09m-17d-21y,no
T809,12m-12d-22y,no
T810,06m-17d-22y,no
T811,07m-20d-22y,no
T812,10m-26d-22y,no
T813,11m-07d-22y,no
T814,10m-24d-21y,no
T815,10m-07d-22y,no
T816,02m-12d-21y,no
T817,10m-12d-22y,no
T818,12m-03d-22y,no
T819,10m-24d-22y,no
T820,12m-12d-22y,no
T821,09m-25d-22y,no
T822,02m-06d-22y,no
T823,08m-24d-22y,no
T824,09m-20d-22y,no
T825,08m-20d-22y,no
T826,01m-08d-22y,no
T827,01m-08d-22y,no
T828,03m-13d-22y,no
T829,07m-27d-22y,no
T830,03m-07d-22y,no
T831,10m-19d-22y,no
T832,10m-03d-22y,no
T833,05m-27d-22y,no
T834,08m-20d-22y,no
T835,12m-11d-22y,no
T836,11m-03d-22y,no
T837,04m-26d-22y,no
T838,08m-20d-22y,no
T839,10m-03d-22y,no
T840,04m-20d-22y,no
T841,11m-03d-22y,no
T842,12m-04d-21y,no
T843,01m-08d-22y,no
T844,04m-20d-22y,no
T845,03m-07d-22y,no
T846,07m-25d-22y,no
T847,12m-04d-21y,no
T848,11m-11d-22y,yes
T849,05m-06d-22y,no
T850,10m-03d-22y,no
T851,12m-11d-22y,no
T852,09m-21d-22y,no
T853,12m-03d-22y,no
T854,11m-03d-22y,no
T855,09m-21d-22y,no
T856,10m-24d-22y,no
T857,10m-03d-22y,no
T858,08m-20d-22y,no
T859,07m-27d-22y,no
T860,08m-30d-22y,no
T861,06m-17d-22y,no
T862,07m-03d-22y,no
T863,05m-10d-22y,no
T864,03m-19d-22y,no
T865,03m-19d-22y,no
T866,03m-05d-22y,no
T867,01m-24d-22y,no
T868,01m-24d-22y,no
T869,07m-03d-22y,no
T870,09m-11d-22y,no
T871,04m-26d-22y,no
T872,05m-20d-22y,no
T873,06m-24d-22y,no
T874,04m-30d-22y,no
T875,05m-11d-22y,no
T876,05m-04d-22y,no
T877,08m-08d-22y,no
T878,08m-08d-22y,no
T879,02m-16d-22y,no
T880,10m-06d-22y,no
T881,05m-25d-22y,no
T882,06m-28d-22y,no
T883,03m-18d-22y,no
T884,06m-22d-22y,no
T885,06m-27d-22y,no
T886,06m-24d-22y,no
T887,05m-29d-22y,no
T888,06m-01d-22y,no
T889,06m-27d-22y,no
T890,03m-28d-22y,no
T891,03m-29d-22y,no
T892,06m-27d-22y,no
T893,03m-05d-22y,no
T894,09m-03d-22y,no
T895,03m-05d-22y,no
T896,02m-04d-22y,no
T897,02m-06d-22y,no
T898,07m-10d-22y,no
T899,08m-08d-22y,no
T900,02m-16d-22y,no
T901,03m-29d-22y,no
T902,02m-02d-22y,no
T903,08m-02d-22y,no
T904,08m-02d-22y,no
T905,04m-29d-22y,no
T906,03m-28d-22y,no
T907,05m-30d-22y,yes
T908,01m-06d-22y,no
T909,06m-26d-22y,no
T910,06m-28d-22y,no
T911,02m-26d-22y,no
T912,06m-28d-22y,no
